date,hospital,requests,A+,A-,B+,B-,AB+,AB-,O+,O-
2022-01-01,"Hospital Pakar Sultanah Fatimah, Muar",7,0,0,2,0,0,0,5,0
2022-01-01,"Hospital Sultanah Nora Ismail, Batu Pahat",30,5,0,14,0,0,0,10,1
2022-01-01,"Hospital Enche Besar Hajjah Kalsom, Kluang",0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Segamat,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Pontian,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Kota Tinggi,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Mersing,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Tangkak,16,2,2,6,0,0,0,6,0
2022-01-01,"Hospital Temenggung Seri Maharaja Tun Ibrahim, Kulai",6,2,0,3,0,0,0,1,0
2022-01-01,Sultan Ismail Hospital,18,6,0,2,0,3,0,7,0
2022-01-01,"Hospital Sultanah Aminah, Johor Bahru[2]",16,3,0,6,0,4,0,3,0
2022-01-01,"Sultanah Bahiyah Hospital, Alor Setar",7,0,0,2,0,1,0,4,0
2022-01-01,"Sultan Abdul Halim Hospital, Sungai Petani",0,0,0,0,0,0,0,0,0
2022-01-01,Pendang Hospital,32,9,0,10,0,0,0,12,1
2022-01-01,Kulim Hospital,0,0,0,0,0,0,0,0,0
2022-01-01,Baling Hospital,6,1,0,2,0,1,0,2,0
2022-01-01,Sik Hospital,10,3,0,3,0,2,0,1,1
2022-01-01,Hospital Yan,24,6,0,7,0,1,0,10,0
2022-01-01,Hospital Jitra,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Kuala Nerang,0,0,0,0,0,0,0,0,0
2022-01-01,"Hospital Raja Perempuan Zainab II, Kota Bharu",21,7,0,5,1,1,0,7,0
2022-01-01,Hospital Pasir Mas,20,3,0,9,0,2,0,6,0
2022-01-01,Hospital Tumpat,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Machang,35,7,0,10,0,3,0,15,0
2022-01-01,Hospital Jeli,21,6,0,8,0,0,0,7,0
2022-01-01,Hospital Tanah Merah,0,0,0,0,0,0,0,0,0
2022-01-01,"Hospital Tengku Anis, Pasir Putih",0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Gua Musang,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Kuala Krai,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Universiti Sains Malaysia (HUSM),15,6,0,1,0,0,0,7,1
2022-01-01,Kuala Lumpur Hospital,0,0,0,0,0,0,0,0,0
2022-01-01,National Heart Institute of Malaysia (IJN),5,1,0,0,1,0,0,3,0
2022-01-01,Hospital Canselor Tuanku Muhriz UKM (HCTM),45,14,0,16,1,1,0,13,0
2022-01-01,University Malaya Medical Centre (UMMC),24,5,0,6,0,4,0,9,0
2022-01-01,Hospital Angkatan Tentera Tuanku Mizan,14,4,0,1,0,1,0,8,0
2022-01-01,Hospital Rehabilitasi Cheras,7,2,0,2,0,0,0,3,0
2022-01-01,Hospital Nukleus Labuan,6,0,0,1,0,0,1,4,0
2022-01-01,Jabatan Kesihatan Labuan,0,0,0,0,0,0,0,0,0
2022-01-01,Malacca General Hospital,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Alor Gajah,7,2,0,3,0,0,0,1,1
2022-01-01,Hospital Jasin,60,19,0,15,1,4,0,21,0
2022-01-01,Hospital Angkatan Tentera Terendak,20,3,0,4,0,3,0,10,0
2022-01-01,Tuanku Ja'afar Hospital,0,0,0,0,0,0,0,0,0
2022-01-01,"Hospital Tuanku Ampuan Najihah, Kuala Pilah",28,9,0,6,0,3,1,9,0
2022-01-01,Hospital Port Dickson,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Tampin,24,10,0,6,0,1,0,6,1
2022-01-01,Hospital Jelebu,18,3,0,5,0,2,0,8,0
2022-01-01,Hospital Jempol,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Rembau,6,4,0,1,0,1,0,0,0
2022-01-01,Tengku Ampuan Afzan Hospital,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Pekan,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Kuala Lipis,7,1,0,0,0,2,0,4,0
2022-01-01,Hospital Raub,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Bentong,5,2,0,1,0,0,0,2,0
2022-01-01,Hospital Jerantut,7,3,0,2,0,0,0,2,0
2022-01-01,Hospital Jengka,0,0,0,0,0,0,0,0,0
