date,hospital,requests,A+,A-,B+,B-,AB+,AB-,O+,O-
2022-01-01,"Hospital Pakar Sultanah Fatimah, Muar",16,4,0,8,0,0,0,4,0
2022-01-01,"Hospital Enche Besar Hajjah Kalsom, Kluang",0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Segamat,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Mersing,0,0,0,0,0,0,0,0,0
2022-01-01,"Hospital Temenggung Seri Maharaja Tun Ibrahim, Kulai",6,2,0,2,0,0,0,2,0
2022-01-01,"Sultanah Bahiyah Hospital, Alor Setar",18,7,0,5,0,2,0,4,0
2022-01-01,Pendang Hospital,42,11,0,16,0,3,0,11,1
2022-01-01,"Hospital Raja Perempuan Zainab II, Kota Bharu",8,0,0,4,0,0,0,4,0
2022-01-01,Hospital Pasir Mas,40,5,0,13,0,0,0,22,0
2022-01-01,Hospital Machang,12,2,0,3,0,2,0,5,0
2022-01-01,Hospital Gua Musang,0,0,0,0,0,0,0,0,0
2022-01-01,National Heart Institute of Malaysia (IJN),12,4,0,4,0,1,0,3,0
2022-01-01,University Malaya Medical Centre (UMMC),24,5,0,10,0,1,0,8,0
2022-01-01,Malacca General Hospital,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Alor Gajah,24,10,0,3,1,0,0,10,0
2022-01-01,Hospital Jasin,77,22,0,28,0,6,0,21,0
2022-01-01,Hospital Angkatan Tentera Terendak,18,2,0,7,0,1,0,8,0
2022-01-01,Tengku Ampuan Afzan Hospital,6,3,0,2,0,0,0,1,0
2022-01-01,Hospital Pekan,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Kuala Lipis,10,1,0,1,0,0,0,8,0
2022-01-01,Hospital Bentong,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Jengka,7,3,0,2,1,0,0,1,0
2022-01-01,Hospital Muadzam Shah,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Bukit Mertajam,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Balik Pulau,6,3,0,0,0,0,0,3,0
2022-01-01,Hospital Batu Gajah,10,1,0,3,0,2,0,4,0
2022-01-01,"Hospital Bahagia Ulu Kinta, Tanjung Rambutan",12,3,0,4,0,1,0,4,0
2022-01-01,Hospital Kuala Kangsar,28,7,0,9,0,2,0,10,0
2022-01-01,Hospital Parit Buntar,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Selama,49,10,0,20,1,3,0,14,1
2022-01-01,Hospital Sg. Siput,24,7,0,2,0,1,0,14,0
2022-01-01,Hospital Slim River,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Tapah,24,3,0,9,0,1,0,11,0
2022-01-01,"Hospital Tuanku Fauziah, Kangar",0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Kinabatangan,24,7,0,8,0,2,0,7,0
2022-01-01,Hospital Kota Belud,10,3,0,4,0,3,0,0,0
2022-01-01,Hospital Kudat,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Wanita dan Kanak-Kanak Sabah[5],30,5,0,7,0,3,0,14,1
2022-01-01,Sarawak General Hospital,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Miri,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Sri Aman,7,2,0,2,0,1,0,2,0
2022-01-01,Hospital Limbang,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Sentosa,16,4,0,5,0,0,0,7,0
2022-01-01,Hospital Marudi,6,0,0,4,0,1,0,1,0
2022-01-01,Hospital Betong,8,2,0,2,0,1,0,3,0
2022-01-01,Rajah Charles Brooke Memorial Hospital,24,8,0,7,0,0,0,9,0
2022-01-01,Hospital Saratok,14,4,0,4,0,1,0,5,0
2022-01-01,Hospital Dalat,10,2,0,3,0,2,0,3,0
2022-01-01,Hospital Sungai Buloh,8,3,0,2,0,1,0,2,0
2022-01-01,Hospital Setiu,0,0,0,0,0,0,0,0,0
2022-01-02,"Hospital Pakar Sultanah Fatimah, Muar",16,4,0,4,0,0,0,8,0
2022-01-02,"Hospital Enche Besar Hajjah Kalsom, Kluang",0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Segamat,12,5,0,3,0,0,0,4,0
2022-01-02,Hospital Mersing,6,1,1,3,0,0,0,1,0
2022-01-02,"Hospital Temenggung Seri Maharaja Tun Ibrahim, Kulai",24,3,0,8,0,3,0,10,0
2022-01-02,"Sultanah Bahiyah Hospital, Alor Setar",40,11,0,11,0,2,0,16,0
2022-01-02,Pendang Hospital,35,7,0,10,0,1,0,17,0
2022-01-02,"Hospital Raja Perempuan Zainab II, Kota Bharu",8,3,0,4,0,0,0,0,1
2022-01-02,Hospital Pasir Mas,49,18,0,9,1,4,0,16,1
2022-01-02,Hospital Machang,16,4,0,4,0,1,0,6,1
2022-01-02,Hospital Gua Musang,0,0,0,0,0,0,0,0,0
2022-01-02,National Heart Institute of Malaysia (IJN),18,4,0,6,1,4,0,2,1
2022-01-02,University Malaya Medical Centre (UMMC),15,5,0,6,0,1,0,3,0
2022-01-02,Malacca General Hospital,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Alor Gajah,12,4,0,4,0,1,0,3,0
2022-01-02,Hospital Jasin,49,11,0,16,0,0,0,22,0
2022-01-02,Hospital Angkatan Tentera Terendak,35,7,0,11,0,3,0,14,0
2022-01-02,Tengku Ampuan Afzan Hospital,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Pekan,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Kuala Lipis,7,0,0,2,0,2,0,3,0
2022-01-02,Hospital Bentong,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Jengka,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Muadzam Shah,18,3,0,7,1,0,0,7,0
2022-01-02,Hospital Bukit Mertajam,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Balik Pulau,12,4,0,4,0,0,0,4,0
2022-01-02,Hospital Batu Gajah,15,3,0,5,0,0,0,7,0
2022-01-02,"Hospital Bahagia Ulu Kinta, Tanjung Rambutan",20,5,0,6,0,3,0,6,0
2022-01-02,Hospital Kuala Kangsar,12,4,0,3,0,2,0,3,0
2022-01-02,Hospital Parit Buntar,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Selama,42,10,1,9,0,2,0,20,0
2022-01-02,Hospital Sg. Siput,48,9,0,14,1,3,0,21,0
2022-01-02,Hospital Slim River,8,2,0,4,0,0,0,2,0
2022-01-02,Hospital Tapah,14,3,0,5,0,3,0,3,0
2022-01-02,"Hospital Tuanku Fauziah, Kangar",0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Kinabatangan,24,4,0,9,0,2,0,8,1
2022-01-02,Hospital Kota Belud,6,1,0,2,0,1,0,2,0
2022-01-02,Hospital Kudat,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Wanita dan Kanak-Kanak Sabah[5],16,5,0,3,0,3,0,5,0
2022-01-02,Sarawak General Hospital,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Miri,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Sri Aman,20,7,0,5,0,1,0,7,0
2022-01-02,Hospital Limbang,7,2,0,3,0,1,0,1,0
2022-01-02,Hospital Sentosa,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Marudi,7,1,0,2,0,0,0,4,0
2022-01-02,Hospital Betong,0,0,0,0,0,0,0,0,0
2022-01-02,Rajah Charles Brooke Memorial Hospital,30,6,0,12,0,2,0,10,0
2022-01-02,Hospital Saratok,15,3,0,4,1,0,0,7,0
2022-01-02,Hospital Dalat,7,1,0,2,0,0,0,4,0
2022-01-02,Hospital Sungai Buloh,6,0,0,1,0,1,0,3,1
2022-01-02,Hospital Setiu,0,0,0,0,0,0,0,0,0
2022-01-03,"Hospital Pakar Sultanah Fatimah, Muar",0,0,0,0,0,0,0,0,0
2022-01-03,"Hospital Enche Besar Hajjah Kalsom, Kluang",0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Segamat,10,1,0,2,0,2,0,5,0
2022-01-03,Hospital Mersing,0,0,0,0,0,0,0,0,0
2022-01-03,"Hospital Temenggung Seri Maharaja Tun Ibrahim, Kulai",8,3,0,1,0,1,0,3,0
2022-01-03,"Sultanah Bahiyah Hospital, Alor Setar",32,9,0,11,1,3,0,8,0
2022-01-03,Pendang Hospital,28,6,0,5,0,4,0,13,0
2022-01-03,"Hospital Raja Perempuan Zainab II, Kota Bharu",30,10,0,4,0,1,0,14,1
2022-01-03,Hospital Pasir Mas,36,8,0,8,1,2,0,17,0
2022-01-03,Hospital Machang,5,3,0,1,0,0,0,1,0
2022-01-03,Hospital Gua Musang,0,0,0,0,0,0,0,0,0
2022-01-03,National Heart Institute of Malaysia (IJN),6,1,0,2,0,1,0,2,0
2022-01-03,University Malaya Medical Centre (UMMC),0,0,0,0,0,0,0,0,0
2022-01-03,Malacca General Hospital,0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Alor Gajah,49,14,1,12,0,5,0,17,0
2022-01-03,Hospital Jasin,77,25,0,22,1,2,0,27,0
2022-01-03,Hospital Angkatan Tentera Terendak,21,2,0,7,0,2,0,10,0
2022-01-03,Tengku Ampuan Afzan Hospital,16,5,0,6,0,2,0,3,0
2022-01-03,Hospital Pekan,0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Kuala Lipis,16,4,0,6,0,0,0,6,0
2022-01-03,Hospital Bentong,0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Jengka,0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Muadzam Shah,12,2,0,4,0,2,0,4,0
2022-01-03,Hospital Bukit Mertajam,0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Balik Pulau,0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Batu Gajah,56,16,0,19,0,2,0,19,0
2022-01-03,"Hospital Bahagia Ulu Kinta, Tanjung Rambutan",32,7,0,7,0,0,0,18,0
2022-01-03,Hospital Kuala Kangsar,30,11,0,6,0,0,0,13,0
2022-01-03,Hospital Parit Buntar,7,3,1,1,0,0,0,2,0
2022-01-03,Hospital Selama,48,16,0,14,0,4,0,14,0
2022-01-03,Hospital Sg. Siput,16,3,0,4,0,2,0,7,0
2022-01-03,Hospital Slim River,0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Tapah,49,11,0,16,0,5,0,17,0
2022-01-03,"Hospital Tuanku Fauziah, Kangar",5,3,0,2,0,0,0,0,0
2022-01-03,Hospital Kinabatangan,42,8,0,11,1,5,0,15,2
2022-01-03,Hospital Kota Belud,7,2,0,2,0,1,0,2,0
2022-01-03,Hospital Kudat,8,3,0,2,0,1,0,2,0
2022-01-03,Hospital Wanita dan Kanak-Kanak Sabah[5],14,4,0,4,0,1,0,5,0
2022-01-03,Sarawak General Hospital,0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Miri,0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Sri Aman,40,11,0,12,0,2,0,15,0
2022-01-03,Hospital Limbang,20,4,0,9,0,3,0,4,0
2022-01-03,Hospital Sentosa,15,6,0,4,0,0,0,5,0
2022-01-03,Hospital Marudi,7,3,0,1,1,0,0,1,1
2022-01-03,Hospital Betong,0,0,0,0,0,0,0,0,0
2022-01-03,Rajah Charles Brooke Memorial Hospital,0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Saratok,7,2,0,1,0,0,0,4,0
2022-01-03,Hospital Dalat,14,6,0,1,0,0,0,7,0
2022-01-03,Hospital Sungai Buloh,8,0,0,6,0,0,0,2,0
2022-01-03,Hospital Setiu,0,0,0,0,0,0,0,0,0
